type,name,col,lat,lon,score,imageurl,number
light,"돈암1동주민센터,동측,단",orange,37.6035174,127.0263659,5.71863165816577,https://drive.google.com/uc?id=1un9Urf3-IAPhishOEj5T_59mayFzLEh7,1
light,"돈암1동주민센터,서측,단",orange,37.603313,127.026153,5.71863165816577,https://drive.google.com/uc?id=1s9q4dQhKF-GhWSIAj2Ir7g8RQB9N5NPr,2
light,"군자교,,남",yellow,37.559125,127.073524,11.0017930710155,https://drive.google.com/uc?id=1i_Kk73TTmwXDoOp5W_bTEBxU3mxHnWH0,3
light,"군자교,,북",yellow,37.559678,127.07376,11.0017930710155,https://drive.google.com/uc?id=1Z7JO-l4VO5S-OlRypT7VOsUK-jcNRPPR,4
light,"용답동우체국(보),,단",orange,37.561676,127.06085,5.74135274407967,https://drive.google.com/uc?id=1bJJTuUBR2ALFAjZToLwHZs9NMKtxwds6,5
light,"군자교동측(군자빌딩)(보),,단",orange,37.5599817,127.0721272,6.31881472720935,https://drive.google.com/uc?id=13GFcRbeyyLeQZWxKhLnrzZTh9Jd6hIAl,6
light,"아차산역(보),,단",orange,37.552649,127.08924,6.32526459009303,https://drive.google.com/uc?id=1N6uN-HOgX6yAF48gHBE_WAtB6ogRW1kL,7
light,"창동교,,남",orange,37.65297,127.0541263,5.68256242238236,https://drive.google.com/uc?id=1m6-_tHDASvZu7wUJ4RL8h4HeRFNcyxAT,8
light,"정릉뉴타운9단지,,단",orange,37.602842,127.0201982,5.68022565404655,https://drive.google.com/uc?id=10V81kMSy8yyYJ-ndezn9s_7y4aTxPrM5,9
light,"복선교,,서",green,,,15.9724509712174,https://drive.google.com/uc?id=1NfI9dGJdGH76zHw21gnoLHBS5pDyGbKj,10
light,"정릉경남아파트,,서",orange,37.6044198,127.0168536,7.62136844647619,https://drive.google.com/uc?id=1KqycGkYyzDT1HjW3hgmiLzqutJ-01OkY,11
light,"성바오로병원,,대각선",orange,37.5797373,127.0447069,5.67901194355765,https://drive.google.com/uc?id=1l3MmPgKlmDsq-bJYdm2TUV5h3c2EcaWs,12
light,"광장사거리,,서",yellow,37.545158,127.104244,10.0871269360588,https://drive.google.com/uc?id=1ng9naNEfrsNj_-_QnlSyT6crig_YA_F0,13
light,"동일로지하차도(상봉동),,북",orange,37.6042971,127.0780346,5.52738947268519,https://drive.google.com/uc?id=1gRC1_QXM4iT9nCSrgPaJbgLFLJ91G1z2,14
light,"광남중고교입구,,남",orange,37.539348,127.098334,8.1545968600065,https://drive.google.com/uc?id=12HO0qOavxNUHiXTJXlBBLrDY_XnYiwgI,15
light,"코오롱글로벌빌딩앞(SK중곡주유소앞),,서",yellow,37.5626197,127.0853672,10.0871269360588,https://drive.google.com/uc?id=17gje4VEhNGbQo8rSrqi5oEMW-2bvsq19,16
light,"용마초교(보),,단",green,37.5579267,127.0840983,15.7299204550074,https://drive.google.com/uc?id=1OvG46PQmIl1A3flo7-tJWo55NNoOJ6lA,17
light,"광화문(광화문삼거리),,남",red,37.5759369,126.9768157,4.12551789047887,https://drive.google.com/uc?id=1w_OLLl6ll8Geoi7BbnBbj9YBnjAn2yIH,18
light,"세종대로사거리(세종로사거리),,남",orange,37.569991,126.976738,9.20701806234489,https://drive.google.com/uc?id=1ObtjJwkTrzjD1MVZIFop4fijvmkfhfJu,19
light,"세종대로사거리(세종로사거리),,북",red,37.570412,126.976695,2.3851077944377,https://drive.google.com/uc?id=1JN-j-u7PXKt9b2FEYF2naXSU1HWP6BLo,20
light,"청계2가(삼일교),남측,남",orange,37.567885,126.9885,5.56966752774189,https://drive.google.com/uc?id=1fpfYufLxz8RpsRdgi1C-fr9dzUV7Yr8I,21
light,"서울역R,,동",green,37.5536067,126.9696195,17.7108861955776,https://drive.google.com/uc?id=1rjhy-cDSsm3QmqdxuLwE3DgP-oHPdBt7,22
light,"시민교회(보),,단",green,37.554166,127.086498,15.7299204550074,https://drive.google.com/uc?id=1qoWu4iBO_fC1nYWRV7x1sKzaVG56IbV9,23
light,"신답역,,동",yellow,37.570588,127.049861,11.3541982638446,https://drive.google.com/uc?id=1mhSPEpZDuelIxp1KF3rI563fMlzM5Zxw,24
light,"신답역,,서",orange,37.570052,127.048777,6.55560877413656,https://drive.google.com/uc?id=1Mn1GaM2dIMUWyan2aIx8WSdvOKqgEAJp,25
